eph_aglome,codprov,coddepto,localidade,Nacidos Vivos,Totales,Menores de 1,Neonatales,Posneonatales,1 a 4,5 a 14,15 a 24,25 a 34,35 a 44,45 a 54,55 a 64,65 a 74,75 y mas,Muertes Maternas
CABA,02,001,Ciudad Autónoma de Buenos Aires,2829,1880,18,10,8,5,3,26,36,61,85,202,317,1127,1
CABA,02,002,Ciudad Autónoma de Buenos Aires,1598,1548,9,8,1,0,1,2,10,12,27,96,239,1152,0
CABA,02,003,Ciudad Autónoma de Buenos Aires,2184,1844,10,7,3,3,2,12,30,46,86,153,328,1174,0
CABA,02,004,Ciudad Autónoma de Buenos Aires,3314,2017,23,18,5,4,9,20,31,52,117,195,395,1170,2
CABA,02,005,Ciudad Autónoma de Buenos Aires,1745,1808,6,3,3,4,1,6,18,35,57,145,322,1214,0
CABA,02,006,Ciudad Autónoma de Buenos Aires,1764,1776,12,11,1,0,1,4,14,23,59,123,266,1274,0
CABA,02,007,Ciudad Autónoma de Buenos Aires,2983,2129,12,10,2,7,8,15,22,50,91,209,374,1341,1
CABA,02,008,Ciudad Autónoma de Buenos Aires,3138,1389,24,16,8,6,5,30,32,42,98,156,254,742,1
CABA,02,009,Ciudad Autónoma de Buenos Aires,1998,1724,20,16,4,3,5,7,20,37,75,148,321,1088,1
CABA,02,010,Ciudad Autónoma de Buenos Aires,1632,1705,8,6,2,2,6,12,10,33,66,128,306,1134,0
CABA,02,011,Ciudad Autónoma de Buenos Aires,1798,1925,7,5,2,3,1,5,9,23,62,146,328,1341,1
CABA,02,012,Ciudad Autónoma de Buenos Aires,2293,1947,14,11,3,3,2,3,11,26,69,163,320,1336,0
CABA,02,013,Ciudad Autónoma de Buenos Aires,2449,2156,11,8,3,4,2,11,5,28,59,151,309,1576,0
CABA,02,014,Ciudad Autónoma de Buenos Aires,2577,2086,10,5,5,1,1,10,13,30,60,163,307,1491,0
CABA,02,015,Ciudad Autónoma de Buenos Aires,2112,1807,13,10,3,3,1,5,6,25,53,156,294,1251,0
Partidos del GBA,06,028,Almirante Brown,8742,4593,91,61,30,18,14,66,89,162,286,609,1054,2157,2
Partidos del GBA,06,035,Avellaneda,5057,3943,52,33,19,14,10,46,62,95,202,421,816,2195,1
Partidos del GBA,06,091,Berazategui,5025,2432,42,29,13,6,9,39,52,81,169,340,538,1131,0
Partidos del GBA,06,134,Máximo Paz,1055,357,11,5,6,4,3,8,9,9,14,58,71,168,0
Partidos del GBA,06,252,Escobar,4026,1374,30,17,13,7,5,24,32,57,83,215,307,601,3
Partidos del GBA,06,260,Esteban Echeverría,5687,1897,57,41,16,11,6,49,55,74,130,262,444,790,3
Partidos del GBA,06,270,Ezeiza,3462,975,34,22,12,2,10,21,36,49,61,152,214,384,6
Partidos del GBA,06,274,Florencio Varela,8963,2448,85,66,19,13,19,62,70,118,201,362,618,887,2
Partidos del GBA,06,364,General Rodríguez,2500,704,31,19,12,4,7,19,19,34,66,111,143,251,0
Partidos del GBA,06,371,General San Martín,5543,4129,44,25,19,12,8,42,62,113,217,451,793,2363,1
Partidos del GBA,06,408,Hurlingham,2089,1686,16,11,5,2,7,17,22,39,81,189,355,925,1
Partidos del GBA,06,410,Ituzaingó,1816,1402,18,13,5,1,3,12,29,37,58,165,318,746,0
Partidos del GBA,06,412,José C. Paz,5795,1785,45,27,18,10,15,36,53,81,151,272,388,723,3
Partidos del GBA,06,427,La Matanza,24625,10986,234,152,82,44,28,193,250,390,634,1366,2459,5320,11
Partidos del GBA,06,434,Lanús,5977,4876,51,34,17,6,16,50,63,117,252,540,972,2712,2
Partidos del GBA,06,490,Lomas de Zamora,11126,5585,101,63,38,26,15,73,113,194,323,657,1157,2880,3
Partidos del GBA,06,515,Malvinas Argentinas,5280,2379,59,44,15,6,7,40,60,86,159,304,587,1045,5
Partidos del GBA,06,525,Marcos Paz,1171,381,9,5,4,6,2,13,7,19,25,53,95,150,0
Partidos del GBA,06,539,Merlo,9096,3977,100,62,38,13,10,65,87,144,254,470,923,1761,2
Partidos del GBA,06,560,Moreno,9238,2767,87,48,39,20,12,50,79,147,218,423,641,1068,3
Partidos del GBA,06,568,Morón,4262,3802,30,23,7,6,11,35,44,79,180,421,765,2205,0
Partidos del GBA,06,638,Pilar,6601,1778,55,35,20,5,12,43,55,88,157,264,405,656,4
Partidos del GBA,06,648,Presidente Perón,2045,561,22,14,8,2,5,16,17,31,30,90,133,204,3
Partidos del GBA,06,658,Quilmes,9738,5783,92,64,28,12,10,95,111,167,316,654,1293,3005,3
Partidos del GBA,06,749,San Fernando,2137,1475,31,21,10,9,4,24,23,46,83,190,300,752,0
Partidos del GBA,06,756,San Isidro,3817,2886,32,26,6,6,5,25,31,63,120,246,485,1772,4
Partidos del GBA,06,760,San Miguel,5050,2051,40,31,9,4,7,27,40,70,126,269,439,1016,2
Partidos del GBA,06,778,San Vicente,1546,471,14,9,5,3,3,8,14,19,34,81,83,206,0
Partidos del GBA,06,805,Tigre,6483,2645,49,29,20,8,14,42,62,86,166,376,593,1235,2
Partidos del GBA,06,840,Tres de Febrero,4501,3772,45,30,15,7,3,43,47,87,198,393,696,2230,1
Partidos del GBA,06,861,Vicente López,2881,3417,23,17,6,1,5,15,32,53,109,291,546,2334,1
